# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 283, mean track length: 2
1 9.0774610945920848 -4.3311941351443499 33.304957702620904 201 207 205 0.37914719784129963 242 15 186 100
2 3.8729931878506125 -3.7071976912019888 30.712078579938858 21 19 20 0.085606420565426375 242 13 186 183
3 9.474972019486426 -4.0454096751632793 33.391523971632502 201 207 207 0.1319104525009889 242 30 186 184
4 3.8339278717909364 -3.6689293377147232 30.759685144160201 79 75 75 0.010094471628558952 242 796 186 197
5 3.6594766205891736 -3.4520336810031336 30.718180841148222 48 38 29 0.18764294293512035 242 28 186 243
6 3.803368573812492 -3.248768236173218 30.885866475223398 111 101 92 0.17852760095533476 242 41 186 302
7 4.9604723692022628 -3.280123345861568 31.653049936251087 24 24 26 0.069111318829127161 242 45 186 311
8 4.2450216862543719 -3.1208084921934978 31.28262509115245 115 110 107 0.088349754344331149 242 54 186 356
9 3.3336566262517158 -2.9916718480527233 30.604870080317582 55 44 40 0.17824663711362804 242 55 186 369
10 3.3934531595299822 -2.9502031204618544 30.715532088619966 139 126 120 0.026124363855448161 242 58 186 389
11 3.4350243295217679 -2.832266316858064 30.795926979058546 124 109 102 0.37922574112730689 242 69 186 431
12 3.4350243295217679 -2.832266316858064 30.795926979058546 124 109 102 0.37922574112730689 242 68 186 432
13 4.9139709515473164 -2.9199040916637937 31.795022829126609 134 130 127 0.092059900705537059 242 81 186 433
14 4.8402962296288177 -2.8779683993271701 31.756874994803702 45 37 34 0.24537444051215423 242 88 186 437
15 4.8437545317120794 -2.8146005643453056 31.716805832862896 141 134 126 0.053618518321227507 242 100 186 456
16 4.6193169670349832 -2.7850685718002524 31.62628312061182 169 159 147 0.11317838792542535 242 103 186 468
17 5.292410433345732 -2.7920583134202337 32.005366315947917 43 41 44 0.28258404040990065 242 108 186 476
18 3.5331467019611127 -2.6629575173292603 30.889198475546991 128 112 99 0.17805407049748953 242 855 186 484
19 3.6514645231890794 -2.6853699451946484 31.001988880250835 73 57 44 0.26330696310122026 242 101 186 485
20 5.8458751874053929 -2.7059672596029629 32.405007831844884 94 94 92 0.15732818006128721 242 865 186 511
21 4.236885127897418 -2.6271763215527102 31.478792199632924 132 127 124 0.16623260493839939 242 114 186 513
22 4.9003946252328667 -2.6063591001502 31.850503588299713 15 14 12 0.2801878782169358 242 121 186 532
23 5.9168680202163042 -2.6477414814806548 32.47996082842139 100 100 100 0.21931149164175354 242 871 186 534
24 4.261261312763005 -2.3228449214956268 31.487804406273167 82 82 89 0.14367062509371062 242 141 186 600
25 5.3428469538592873 -2.054721480228018 32.192128116670332 88 87 91 0.018466840783681753 242 926 186 696
26 4.0532976168811761 -1.8815406826568837 31.495442167177146 34 34 36 0.13420630757842394 242 931 186 725
27 5.8868086609735641 -1.909000519590214 32.56580324458983 106 105 110 0.57829877463161361 242 205 186 733
28 7.959866007023674 -1.8193054949847691 33.07660924525041 99 100 102 0.73682631236215368 242 224 186 764
29 4.175547733129723 -1.6792736676179723 31.665841457774473 23 24 16 0.044877857866316095 242 946 186 777
30 8.0999591591980007 -1.7449907928677713 33.089679592536974 12 14 13 0.55036011253637307 242 230 186 790
31 4.6424586110118504 -1.5613457514944966 32.04757884863443 15 16 21 0.33767484792976865 242 237 186 812
32 8.1979024654265036 -1.5700150550237877 33.013886564443709 108 108 110 0.32560563924226754 242 246 186 831
33 6.4740666047229629 -1.4913548123622649 32.644048755500151 74 73 78 0.028870803891697848 242 255 186 851
34 5.0805662850111357 -1.4397205797032169 32.223900446015712 38 38 41 0.13380330086692882 242 257 186 860
35 6.3563883880804335 -1.2249662738690303 32.729870014287819 39 43 46 0.60965217939371974 242 979 186 944
36 4.9508495444694409 -1.1457374743531088 32.161275686565361 92 89 80 0.43513967845062274 242 311 186 957
37 3.4420942471197047 -1.0457138001303325 31.019367279182227 73 70 52 0.064928629807805727 242 324 186 979
38 5.7974417361555695 -1.090749572721103 32.785772802394554 35 34 39 0.065516401494320642 242 325 186 984
39 5.3986515158413706 -0.9989058900518486 32.513144307111588 72 72 72 0.18719037028878097 242 340 186 1008
40 8.6182859762260051 -1.0359944302698101 33.231652489323587 27 27 27 0.14579695609007781 242 334 186 1010
41 5.4193863258761592 -0.82990186713406411 32.604359675770986 99 102 76 0.1856462282440165 242 367 186 1063
42 7.9343830361433847 -0.82760376698991345 33.390302914439907 82 86 72 0.12737569831923809 242 368 186 1070
43 5.8902952445276915 -0.74561926921342081 32.824337207304225 52 55 46 0.13771396427513627 242 378 186 1092
44 4.4392508916295306 -0.60913214046823083 31.808223109164679 110 107 92 0.12764501660823302 242 396 186 1132
45 4.4392508916295306 -0.60913214046823083 31.808223109164679 110 107 92 0.12764501660823302 242 395 186 1133
46 5.7448270256680614 -0.62151685301068049 32.803814726739461 112 113 91 0.13678064862058664 242 393 186 1134
47 5.7448270256680614 -0.62151685301068049 32.803814726739461 112 113 91 0.13678064862058664 242 394 186 1135
48 3.5055160076029002 -0.5553785986447074 31.025005152518695 108 107 88 0.15397903123872309 242 1054 186 1140
49 7.75441389699869 -0.49715516657514636 33.423984523486133 68 72 49 0.311135385004215 242 1057 186 1178
50 5.1186998903012757 -0.43221951087360067 32.381385172008699 123 117 101 0.18936065572071087 242 1063 186 1189
51 4.8182420262098908 -0.40192087751061517 32.148085578602554 105 101 72 0.53889368741249122 242 419 186 1208
52 6.9233497269064728 -0.39730379083112666 33.367116916817636 69 64 47 0.23769585260595166 242 418 186 1214
53 4.5194690689658401 -0.35242922400095844 31.851232758045583 47 41 22 0.30101963823879463 242 1072 186 1216
54 4.4597328557677125 -0.3103310204816685 31.842047745530966 119 113 85 0.1002222550517519 242 432 186 1226
55 5.1489323382127381 -0.23363093542229177 32.3032388361353 64 63 42 0.24836668045863497 242 442 186 1250
56 4.960976754649467 -0.18746223227736528 32.15452378979731 64 56 43 0.098114311121695885 242 449 186 1261
57 4.2128794222934998 -0.10682356754688953 31.536808160921534 103 95 73 0.42839119129690595 242 457 186 1300
58 6.8267794000870801 -0.018861659144597143 33.215702521343111 102 105 66 0.12591655584862038 242 467 186 1328
59 5.9027245903644614 0.027913448486986816 32.679764702479218 105 107 63 0.17462457144015545 242 481 186 1343
60 7.8201238499435179 0.031140774139022154 33.473422337954332 115 117 81 0.017648474802839247 242 1103 186 1347
61 7.8668348589605346 0.17795643744321168 32.972672475202309 55 52 17 0.65562885814259686 242 1116 186 1390
62 3.8707960612449881 0.93028617858287299 15.128816226097419 98 87 93 0.52434744805626399 242 665 186 1628
63 2.2422356324237787 1.0311631066770079 15.354895320165621 69 1 20 0.2042790489310779 242 692 186 1647
64 2.2892920617363415 1.0309194611042032 15.358690514201943 152 71 97 0.64490495393788683 242 689 186 1650
65 2.8782258247007695 1.1543576887425664 15.205630489126037 216 214 230 0.31727775177852602 242 710 186 1665
66 2.8782258247007695 1.1543576887425664 15.205630489126037 216 214 230 0.31727775177852602 242 711 186 1666
67 9.5431279144506966 -4.4128615939493105 33.174681145494318 56 65 74 0.85264177716235579 242 790 186 1801
68 3.3057093032073221 -3.6577396125644559 30.26927990741547 41 37 35 0.048305321612513705 242 791 186 1856
69 9.7246221793779668 -3.9792341113510417 33.366079701524598 201 205 214 0.40918823447515584 242 815 186 1868
70 4.4606437989124954 -3.6891869089825873 31.15822984899836 53 53 55 0.11502258374730495 242 802 186 1876
