# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 106, mean track length: 2
1 12.776861981856715 -2.307791667734691 30.489809153846572 25 27 35 0.72388697784684986 282 195 261 10
2 12.607432015002562 -2.172183071643127 30.552646128866524 13 12 13 0.54874026481405791 282 26 261 11
3 12.607432015002562 -2.172183071643127 30.552646128866524 13 12 13 0.54874026481405791 282 25 261 12
4 12.499324803515954 -1.096465505898776 30.526314901636088 219 219 221 0.45152543905588383 282 32 261 16
5 13.70772013781397 1.5779188544470804 30.382393359881188 255 251 237 0.10354010656388532 282 38 261 22
6 8.789407973184856 3.4321689758842178 30.799994122567362 26 28 23 0.65622728615641845 282 47 261 31
7 5.9812230289523765 5.7181662614231126 32.406492207636909 41 34 21 0.10176657121066926 282 213 261 35
8 3.4943502630918948 7.0873600466842479 31.325817039856052 238 226 214 0.45611285601423601 282 64 261 50
9 11.073649958889435 7.068565821920247 30.645989424171351 219 217 218 0.051198409369502783 282 221 261 68
10 3.8194032782102263 8.04377217817804 31.034234557319298 15 18 28 0.18138269343803387 282 232 261 83
11 3.5038195815585165 8.5100904480962409 30.749725004270807 25 32 42 0.056378100840179746 282 242 261 96
12 4.1205425032539305 8.5655514203249137 30.755020886321635 142 152 175 0.13018137179112177 282 115 261 97
13 3.8396221027911865 8.6224422862405259 30.718732106391304 24 32 34 0.18170073952677054 282 243 261 98
14 11.497829132557706 8.0505991124798797 30.727753204797494 168 143 112 0.16741782273329414 282 81 261 101
15 3.8583693163639272 8.8094476785811722 30.640733022499017 182 192 213 0.13824849350013024 282 245 261 104
16 3.8583693163639272 8.8094476785811722 30.640733022499017 182 192 213 0.13824849350013024 282 246 261 105
17 4.6297970819060499 8.8003036314126462 30.620719565701954 241 253 254 0.076507130672873652 282 120 261 106
18 5.0616638886449516 9.3429495143207806 30.382571058845361 196 209 233 0.11855154684534498 282 131 261 113
19 8.8226644727977686 9.4562462996539978 30.551493323753508 36 19 1 0.16865224199606654 282 127 261 118
20 9.3194934262850087 9.3817266052070778 30.32888828073829 215 136 44 0.34238491430950851 282 128 261 119
21 14.422802191784223 9.2610159986776743 30.229619515748151 108 47 3 0.3546983901600228 282 247 261 122
22 14.261574821721927 9.6494844160958735 30.162652060492807 106 47 7 0.87435008896206678 282 250 261 125
23 4.5395037818169151 11.605922488431526 29.496888361542467 33 22 11 0.10392159461752573 282 150 261 135
24 14.27490081127748 12.947537747517021 30.257840000920762 88 20 0 0.98794129114673235 282 151 261 154
25 -7.189509338845256 16.816529233007135 35.554905387952246 143 87 50 0.016968692352122956 282 270 261 161
26 -7.189509338845256 16.816529233007135 35.554905387952246 143 87 50 0.016968692352122956 282 271 261 162
27 6.0702955565451688 15.313843247562309 29.078487423324386 115 121 122 0.49663906969281191 282 179 261 183
28 -3.2771490764652738 -9.2753461245224127 30.592370017478729 213 166 148 0.038082862586875411 282 7 261 192
29 12.966205002097453 -2.4000778911575749 30.561526255387619 209 211 210 0.70350425519851434 282 22 261 195
30 13.062226843293862 -1.449333683591117 30.477554765237752 196 165 66 0.60489109668206686 282 29 261 196
31 13.192076607445168 -1.3232602060540526 30.504098811225049 38 19 8 0.0099812959187299578 282 30 261 198
32 11.640784371085509 3.0501860568460377 31.220976423657774 178 178 188 0.051322610184189384 282 46 261 206
33 6.190935471622927 5.9524434698250728 32.378368937604158 114 105 98 0.11195438316324656 282 52 261 213
34 9.1027146226804572 6.7958548912216958 30.635682727674268 154 201 235 0.61061839515502747 282 297 261 218
35 9.3317776995427355 6.7504154846061537 30.445511046148695 159 211 250 0.2190677324798242 282 217 261 219
36 11.007607222011069 6.9460241592015572 30.773701979983898 16 6 5 0.085073968051723001 282 298 261 222
37 11.545177131675993 6.9594473643131902 30.595445101732647 1 1 1 0.25528575583539859 282 218 261 225
38 11.424761848102403 7.1183862362308066 30.632020319472318 240 246 242 0.14357750902291805 282 222 261 229
39 11.509068886516419 7.6598917467680883 30.750463195541879 241 239 232 0.20292920071501191 282 67 261 234
40 4.0590283409205155 8.3880404817759455 30.826022584367532 15 22 28 0.13392904785559298 282 238 261 236
41 10.628115827387067 7.9542004037542853 30.853058645556612 33 12 8 0.15690056385238521 282 227 261 237
42 10.715192204008414 8.3029787727639519 30.733084571561882 49 2 0 0.17966956001996559 282 303 261 242
43 4.041878491030678 8.796260064000629 30.686316828189934 20 29 46 0.20021532248389787 282 244 261 243
44 1.9945895602260835 10.294572254876259 25.522472174111545 223 153 69 0.32816818692445326 282 356 261 265
45 14.321173777477139 11.076243943872262 30.206148681306569 130 62 6 0.40267880389838351 282 138 261 266
